"year","month","day","owli","owlt","dir","zyk950","zyk500","hum","ts","time"
1979,7,1,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.543,"1979-7-1 00:00:00"
1979,7,2,11,"XXAZT","'XX'","'A'","'Z'","'T'",1979.5458,"1979-7-2 00:00:00"
1979,7,3,11,"XXAZT","'XX'","'A'","'Z'","'T'",1979.5485,"1979-7-3 00:00:00"
1979,7,4,12,"NOAZT","'NO'","'A'","'Z'","'T'",1979.5513,"1979-7-4 00:00:00"
1979,7,5,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.554,"1979-7-5 00:00:00"
1979,7,6,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.5567,"1979-7-6 00:00:00"
1979,7,7,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.5595,"1979-7-7 00:00:00"
1979,7,8,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.5622,"1979-7-8 00:00:00"
1979,7,9,40,"NWZZF","'NW'","'Z'","'Z'","'F'",1979.565,"1979-7-9 00:00:00"
1979,7,10,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.5677,"1979-7-10 00:00:00"
1979,7,11,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.5704,"1979-7-11 00:00:00"
1979,7,12,16,"XXAZF","'XX'","'A'","'Z'","'F'",1979.5732,"1979-7-12 00:00:00"
1979,7,13,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.5759,"1979-7-13 00:00:00"
1979,7,14,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.5787,"1979-7-14 00:00:00"
1979,7,15,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.5814,"1979-7-15 00:00:00"
1979,7,16,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.5841,"1979-7-16 00:00:00"
1979,7,17,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.5869,"1979-7-17 00:00:00"
1979,7,18,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.5896,"1979-7-18 00:00:00"
1979,7,19,34,"SWZZT","'SW'","'Z'","'Z'","'T'",1979.5924,"1979-7-19 00:00:00"
