"year","month","day","gwl","ts","time"
1881,1,1,"HM",1881.043,"1881-1-1 00:00:00"
1881,1,2,"HM",1881.0458,"1881-1-2 00:00:00"
1881,1,3,"HM",1881.0485,"1881-1-3 00:00:00"
1881,1,4,"HM",1881.0513,"1881-1-4 00:00:00"
1881,1,5,"HNA",1881.054,"1881-1-5 00:00:00"
1881,1,6,"HNA",1881.0567,"1881-1-6 00:00:00"
1881,1,7,"HNA",1881.0595,"1881-1-7 00:00:00"
1881,1,8,"HNA",1881.0622,"1881-1-8 00:00:00"
1881,1,9,"HNA",1881.065,"1881-1-9 00:00:00"
1881,1,10,"HNA",1881.0677,"1881-1-10 00:00:00"
1881,1,11,"TM",1881.0704,"1881-1-11 00:00:00"
1881,1,12,"TM",1881.0732,"1881-1-12 00:00:00"
1881,1,13,"TM",1881.0759,"1881-1-13 00:00:00"
1881,1,14,"TM",1881.0787,"1881-1-14 00:00:00"
1881,1,15,"TM",1881.0814,"1881-1-15 00:00:00"
1881,1,16,"TM",1881.0841,"1881-1-16 00:00:00"
1881,1,17,"TM",1881.0869,"1881-1-17 00:00:00"
1881,1,18,"TM",1881.0896,"1881-1-18 00:00:00"
1881,1,19,"TM",1881.0924,"1881-1-19 00:00:00"
1881,1,20,"TM",1881.0951,"1881-1-20 00:00:00"
1881,1,21,"HNA",1881.0978,"1881-1-21 00:00:00"
1881,1,22,"HNA",1881.1006,"1881-1-22 00:00:00"
1881,1,23,"HNA",1881.1033,"1881-1-23 00:00:00"
1881,1,24,"HM",1881.1061,"1881-1-24 00:00:00"
1881,1,25,"HM",1881.1088,"1881-1-25 00:00:00"
1881,1,26,"HM",1881.1115,"1881-1-26 00:00:00"
1881,1,27,"WS",1881.1143,"1881-1-27 00:00:00"
1881,1,28,"WS",1881.117,"1881-1-28 00:00:00"
1881,1,29,"WS",1881.1197,"1881-1-29 00:00:00"
1881,1,30,"WS",1881.1225,"1881-1-30 00:00:00"
1881,1,31,"WS",1881.1252,"1881-1-31 00:00:00"
1881,2,1,"WS",1881.1264,"1881-2-1 00:00:00"
1881,2,2,"TB",1881.1291,"1881-2-2 00:00:00"
1881,2,3,"TB",1881.1318,"1881-2-3 00:00:00"
1881,2,4,"TB",1881.1346,"1881-2-4 00:00:00"
1881,2,5,"WZ",1881.1373,"1881-2-5 00:00:00"
1881,2,6,"WZ",1881.1401,"1881-2-6 00:00:00"
1881,2,7,"WZ",1881.1428,"1881-2-7 00:00:00"
1881,2,8,"NWZ",1881.1455,"1881-2-8 00:00:00"
1881,2,9,"NWZ",1881.1483,"1881-2-9 00:00:00"
1881,2,10,"NWZ",1881.151,"1881-2-10 00:00:00"
1881,2,11,"NWZ",1881.1538,"1881-2-11 00:00:00"
1881,2,12,"NWZ",1881.1565,"1881-2-12 00:00:00"
1881,2,13,"NWZ",1881.1592,"1881-2-13 00:00:00"
1881,2,14,"SA",1881.162,"1881-2-14 00:00:00"
1881,2,15,"SA",1881.1647,"1881-2-15 00:00:00"
1881,2,16,"SA",1881.1675,"1881-2-16 00:00:00"
1881,2,17,"HFA",1881.1702,"1881-2-17 00:00:00"
1881,2,18,"HFA",1881.1729,"1881-2-18 00:00:00"
1881,2,19,"HFA",1881.1757,"1881-2-19 00:00:00"
1881,2,20,"HFA",1881.1784,"1881-2-20 00:00:00"
1881,2,21,"HFA",1881.1812,"1881-2-21 00:00:00"
1881,2,22,"HFA",1881.1839,"1881-2-22 00:00:00"
1881,2,23,"HFA",1881.1866,"1881-2-23 00:00:00"
1881,2,24,"HFA",1881.1894,"1881-2-24 00:00:00"
1881,2,25,"HNZ",1881.1921,"1881-2-25 00:00:00"
1881,2,26,"HNZ",1881.1949,"1881-2-26 00:00:00"
1881,2,27,"HNZ",1881.1976,"1881-2-27 00:00:00"
1881,2,28,"HNZ",1881.2003,"1881-2-28 00:00:00"
1881,3,1,"HNZ",1881.2097,"1881-3-1 00:00:00"
1881,3,2,"HFA",1881.2124,"1881-3-2 00:00:00"
1881,3,3,"HFA",1881.2152,"1881-3-3 00:00:00"
1881,3,4,"HFA",1881.2179,"1881-3-4 00:00:00"
1881,3,5,"HFA",1881.2207,"1881-3-5 00:00:00"
1881,3,6,"WW",1881.2234,"1881-3-6 00:00:00"
1881,3,7,"WW",1881.2261,"1881-3-7 00:00:00"
1881,3,8,"WW",1881.2289,"1881-3-8 00:00:00"
1881,3,9,"WZ",1881.2316,"1881-3-9 00:00:00"
1881,3,10,"WZ",1881.2344,"1881-3-10 00:00:00"
1881,3,11,"WZ",1881.2371,"1881-3-11 00:00:00"
1881,3,12,"WZ",1881.2398,"1881-3-12 00:00:00"
1881,3,13,"SEA",1881.2426,"1881-3-13 00:00:00"
1881,3,14,"SEA",1881.2453,"1881-3-14 00:00:00"
1881,3,15,"SEA",1881.2481,"1881-3-15 00:00:00"
1881,3,16,"HM",1881.2508,"1881-3-16 00:00:00"
1881,3,17,"HM",1881.2535,"1881-3-17 00:00:00"
1881,3,18,"HM",1881.2563,"1881-3-18 00:00:00"
1881,3,19,"HM",1881.259,"1881-3-19 00:00:00"
1881,3,20,"NZ",1881.2618,"1881-3-20 00:00:00"
1881,3,21,"NZ",1881.2645,"1881-3-21 00:00:00"
1881,3,22,"NZ",1881.2672,"1881-3-22 00:00:00"
1881,3,23,"TRW",1881.27,"1881-3-23 00:00:00"
1881,3,24,"TRW",1881.2727,"1881-3-24 00:00:00"
1881,3,25,"TRW",1881.2755,"1881-3-25 00:00:00"
1881,3,26,"TRW",1881.2782,"1881-3-26 00:00:00"
1881,3,27,"TRW",1881.2809,"1881-3-27 00:00:00"
1881,3,28,"TRW",1881.2837,"1881-3-28 00:00:00"
1881,3,29,"U",1881.2864,"1881-3-29 00:00:00"
1881,3,30,"HNA",1881.2892,"1881-3-30 00:00:00"
1881,3,31,"HNA",1881.2919,"1881-3-31 00:00:00"
1881,4,1,"HNA",1881.293,"1881-4-1 00:00:00"
1881,4,2,"HNA",1881.2958,"1881-4-2 00:00:00"
1881,4,3,"HNA",1881.2985,"1881-4-3 00:00:00"
1881,4,4,"HNA",1881.3013,"1881-4-4 00:00:00"
1881,4,5,"HNA",1881.304,"1881-4-5 00:00:00"
1881,4,6,"HNA",1881.3067,"1881-4-6 00:00:00"
1881,4,7,"HFA",1881.3095,"1881-4-7 00:00:00"
1881,4,8,"HFA",1881.3122,"1881-4-8 00:00:00"
1881,4,9,"HFA",1881.315,"1881-4-9 00:00:00"
1881,4,10,"HFA",1881.3177,"1881-4-10 00:00:00"
1881,4,11,"HFA",1881.3204,"1881-4-11 00:00:00"
1881,4,12,"HFA",1881.3232,"1881-4-12 00:00:00"
1881,4,13,"HFA",1881.3259,"1881-4-13 00:00:00"
1881,4,14,"HFA",1881.3287,"1881-4-14 00:00:00"
